Week starting (Wythnos yn dechrau),Week ending (Wythnos yn gorffen),midweek_date,week_label,app_positives,app_notifications,weekly_sum_eng_wales_cases_by_specimen_date,exposure_notifications_per_index_case,percent_cases_through_app,percent_cases_over_16_through_app
2020-12-17,2020-12-23,2020-12-20,17 December to 23 December,59858,207562,255500,3.4675732567075412,23.427788649706457,26.943134852509992
2020-12-24,2020-12-30,2020-12-27,24 December to 30 December,74910,272461,317199,3.637177946869577,23.616089584141186,26.54750589531118
2020-12-31,2021-01-06,2021-01-03,31 December to 06 January,96645,210149,380245,2.1744425474675357,25.41650777788005,28.51756465987836
2021-01-07,2021-01-13,2021-01-10,07 January to 13 January,74301,140811,313969,1.8951427302458916,23.665075214432,26.360809702350373
2021-01-14,2021-01-20,2021-01-17,14 January to 20 January,56211,106179,252414,1.8889363291882373,22.269366992322137,25.024373956594324
2021-01-21,2021-01-27,2021-01-24,21 January to 27 January,38573,72490,175664,1.879293806548622,21.958397850441752,25.078897784620423
2021-01-28,2021-02-03,2021-01-31,28 January to 03 February,28502,53667,133460,1.8829204968072415,21.356211598980966,24.460448942181273
2021-02-04,2021-02-10,2021-02-07,04 February to 10 February,19439,35954,94977,1.849580739749987,20.467060446213296,23.446810153087565
2021-02-11,2021-02-17,2021-02-14,11 February to 17 February,20548,34556,75696,1.6817208487444033,27.145423800465018,31.55260046373785
2021-02-18,2021-02-24,2021-02-21,18 February to 24 February,18196,27046,62258,1.486370630907892,29.226766038099523,33.7914128658446
2021-02-25,2021-03-03,2021-02-28,25 February to 03 March,10883,14999,40120,1.3782045391895617,27.126121635094712,31.59951684649423
2021-03-04,2021-03-10,2021-03-07,04 March to 10 March,8653,11218,35047,1.2964289841673409,24.68970239963478,30.325438602639675
2021-03-11,2021-03-17,2021-03-14,11 March to 17 March,8808,13365,33861,1.5173705722070845,26.01222645521396,33.16714614932747
2021-03-18,2021-03-24,2021-03-21,18 March to 24 March,9266,13024,33714,1.4055687459529462,27.48413122145103,37.868013666159904
2021-03-25,2021-03-31,2021-03-28,25 March to 31 March,6927,11587,26889,1.6727298975025264,25.76146379560415,35.82659246539917
2021-04-01,2021-04-07,2021-04-04,01 April to 07 April,4479,7436,17869,1.6601920071444518,25.065756337791704,32.78388546500564
2021-04-08,2021-04-14,2021-04-11,08 April to 14 April,3909,5873,16202,1.5024302890764902,24.126651030736944,30.539062500000004
2021-04-15,2021-04-21,2021-04-18,15 April to 21 April,4027,7732,14691,1.9200397318102806,27.411340276359674,37.08854464071912
2021-04-22,2021-04-28,2021-04-25,22 April to 28 April,4125,10202,13495,2.4732121212121214,30.566876620970728,41.620421753607104
2021-04-29,2021-05-05,2021-05-02,29 April to 05 May,3975,9403,12422,2.3655345911949683,31.99967799066173,45.14172799127827
2021-05-06,2021-05-12,2021-05-09,06 May to 12 May,4398,9911,13301,2.253524329240564,33.06518306894218,46.415906788247206
2021-05-13,2021-05-19,2021-05-16,13 May to 19 May,4227,9722,13280,2.299976342559735,31.829819277108435,44.2784714656834
2021-05-20,2021-05-26,2021-05-23,20 May to 26 May,4956,16508,16396,3.33091202582728,30.226884606001462,42.433686661986066
2021-05-27,2021-06-02,2021-05-30,27 May to 02 June,8353,47511,24144,5.687896564108703,34.596587143803845,44.51229910048173
2021-06-03,2021-06-09,2021-06-06,03 June to 09 June,15816,113243,39690,7.160027819929185,39.84882842025699,49.36329588014981
2021-06-10,2021-06-16,2021-06-13,10 June to 16 June,23307,153444,53232,6.583601493113657,43.78381424706943,55.24687700002371
2021-06-17,2021-06-23,2021-06-20,17 June to 23 June,36379,224434,76575,6.169328458726188,47.50767221678093,61.120426342653424
2021-06-24,2021-06-30,2021-06-27,24 June to 30 June,62589,364018,132831,5.816006007445398,47.11927185672019,62.28852017865816
2021-07-01,2021-07-07,2021-07-04,01 July to 07 July,88617,531371,189657,5.996264825033571,46.724877014821494,60.63701816161387
2021-07-08,2021-07-14,2021-07-11,08 July to 14 July,118427,620177,251873,5.236787219130773,47.01853711989772,59.844863307898336
2021-07-15,2021-07-21,2021-07-18,15 July to 21 July,148277,690713,294000,4.658261227297558,50.434353741496594,63.128885498029206
2021-07-22,2021-07-28,2021-07-25,22 July to 28 July,84752,396819,176455,4.682119595997735,48.030376016548125,60.45595914058265
2021-07-29,2021-08-04,2021-08-01,29 July to 04 August,74449,317730,171609,4.267753764321885,43.382922807078884,52.20995908703927
2021-08-05,2021-08-11,2021-08-08,05 August to 11 August,78925,262006,183895,3.3196832435856827,42.918513282035946,51.19275718968789
2021-08-12,2021-08-18,2021-08-15,12 August to 18 August,79774,247921,198172,3.1077920124351293,40.254930060755306,49.20427168129912
2021-08-19,2021-08-25,2021-08-22,19 August to 25 August,75848,230424,198678,3.0379706781985023,38.176345644711546,47.36527237779312
2021-08-26,2021-09-01,2021-08-29,26 August to 01 September,67396,207457,194769,3.07817971392961,34.60304257864444,44.50484431624879
2021-09-02,2021-09-08,2021-09-05,02 September to 08 September,74932,212294,209762,2.8331553942240966,35.72239013739381,48.10468862145515
2021-09-09,2021-09-15,2021-09-12,09 September to 15 September,57982,143104,167050,2.468076299541237,34.70936845255911,51.093025223116726
2021-09-16,2021-09-22,2021-09-19,16 September to 22 September,58412,129311,201940,2.213774566869821,28.92542339308706,51.37993638641033
2021-09-23,2021-09-29,2021-09-26,23 September to 29 September,64390,146639,215051,2.277356732411865,29.941734751291555,50.481451457368685
2021-09-30,2021-10-06,2021-10-03,30 September to 06 October,42565,125142,217699,2.940021144132503,19.55222577963151,32.538416965690374
2021-10-07,2021-10-13,2021-10-10,07 October to 13 October,46142,139942,263186,3.032855099475532,17.532087573047196,28.409167870340614
2021-10-14,2021-10-20,2021-10-17,14 October to 20 October,56301,168546,306336,2.9936590824319285,18.378838921968036,29.644899377626132
2021-10-21,2021-10-27,2021-10-24,21 October to 27 October,75263,208655,262842,2.772344976947504,28.634312628879705,24.488418734618072
2021-10-28,2021-11-03,2021-10-31,28 October to 03 November,78235,203828,242626,2.6053300952259217,32.24510151426475,43.821668466546875
2021-11-04,2021-11-10,2021-11-07,04 November to 10 November,65478,175902,221540,2.6864290295977273,29.555836417802656,41.18864446974605
2021-11-11,2021-11-17,2021-11-14,11 November to 17 November,71012,184722,258110,2.601278657128373,27.512300956956338,40.39785734115516
2021-11-18,2021-11-24,2021-11-21,18 November to 24 November,77262,212683,271083,2.752750381817711,28.501233939420768,43.18344159654989
2021-11-25,2021-12-01,2021-11-28,25 November to 01 December,81394,229023,291552,2.81375777084306,27.917489847437167,41.89740247840889
2021-12-02,2021-12-08,2021-12-05,02 December to 08 December,94165,266913,315971,2.8345245048584933,29.80178560690696,43.00596461421825
2021-12-09,2021-12-15,2021-12-12,09 December to 15 December,140867,458883,466816,3.2575620975814066,30.17612935289279,38.619939027064966
2021-12-16,2021-12-22,2021-12-19,16 December to 22 December,244042,699472,751646,2.8661951631276583,32.46767760355274,38.5618525212425
2021-12-23,2021-12-29,2021-12-26,23 December to 29 December,341819,588257,1027700,1.7209605083392088,33.26058188187214,38.34935509798176
2021-12-30,2022-01-05,2022-01-02,30 December to 05 January,480426,604603,1274490,1.258472688822004,37.6955488077584,43.11471717145429
2022-01-06,2022-01-12,2022-01-09,06 January to 12 January,357899,470697,747978,1.3151671281562676,47.84886721267203,55.45405048114541
2022-01-13,2022-01-19,2022-01-16,13 January to 19 January,193128,347638,642609,1.8000393521395137,30.05373407468616,44.48744350614349
2022-01-20,2022-01-26,2022-01-23,20 January to 26 January,187106,346014,641679,1.8492939830897994,29.158816168208716,43.297682734196854
2022-01-27,2022-02-02,2022-01-30,27 January to 02 February,184662,388593,547277,2.104347402280924,33.74196247969493,46.13544275904249
2022-02-03,2022-02-09,2022-02-06,03 February to 09 February,154086,366798,388160,2.3804758381682958,39.69651690024732,50.44593544297913
2022-02-10,2022-02-16,2022-02-13,10 February to 16 February,113670,302557,266492,2.6617137327351106,42.65418849346322,50.14739372078927
