date,app_installed,contact_tracing_enabled
2020-09-24,NA,NA
2020-09-25,NA,NA
2020-09-26,NA,NA
2020-09-27,9209283.285714285,7621914.142857143
2020-09-28,9997250.57142857,8196265.857142857
2020-09-29,10604995.714285715,8647968
2020-09-30,10862337.42857143,8957718.285714285
2020-10-01,10915557,9135206.857142856
2020-10-02,10954129.857142856,9247784.714285715
2020-10-03,11013650.714285715,9332520.857142856
2020-10-04,11092444.57142857,9413288.142857144
2020-10-05,11166545.142857144,9484582.142857144
2020-10-06,11203938.57142857,9533484.857142856
2020-10-07,11244217.714285715,9578361
2020-10-08,11344474.57142857,9666534.57142857
2020-10-09,11753424.857142856,9995379.857142856
2020-10-10,12263330.714285715,10436290.857142856
2020-10-11,12890175.142857144,11004055
2020-10-12,13544194.714285715,11605164.285714285
2020-10-13,14198159.142857144,12211638.57142857
2020-10-14,14833732.857142856,12803257.714285715
2020-10-15,15388138.285714285,13324975.42857143
2020-10-16,15612350.142857144,13586859.57142857
2020-10-17,15729112.857142856,13727967.57142857
2020-10-18,15697513.714285715,13714119
2020-10-19,15631273.142857144,13659513.42857143
2020-10-20,15552562.285714285,13587112.42857143
2020-10-21,15474610.57142857,13514361.285714285
2020-10-22,15426427.57142857,13464189.57142857
2020-10-23,15392218.285714285,13426103.857142856
2020-10-24,15365162.285714285,13394448
2020-10-25,15358636.42857143,13378843.857142856
2020-10-26,15423333.714285715,13425202.42857143
2020-10-27,15546814.714285715,13523275.142857144
2020-10-28,15665063.42857143,13621236.857142856
2020-10-29,15761735.142857144,13704620.857142856
2020-10-30,15842997.285714285,13777943.57142857
2020-10-31,15907051.142857144,13839224.142857144
2020-11-01,15953977.57142857,13889471.42857143
2020-11-02,15905680.857142856,13866007.57142857
2020-11-03,15779537.714285715,13767168.57142857
2020-11-04,15639320.142857144,13652753.142857144
2020-11-05,15518924.57142857,13548978.42857143
2020-11-06,15581609.285714285,13613809
2020-11-07,15904147.714285715,13896801.285714285
2020-11-08,16180018.857142856,13651576.57142857
2020-11-09,16423878.285714285,13201050.285714285
2020-11-10,16619474.857142856,12699512.714285715
2020-11-11,16771444.57142857,12481169.285714285
2020-11-12,16887324.85714286,12424992.42857143
2020-11-13,16847429.85714286,12254335.142857144
2020-11-14,16546316.42857143,11875369
2020-11-15,16300660,12038098.57142857
2020-11-16,16089283.57142857,12455356.57142857
2020-11-17,15923988.857142856,12965799.57142857
2020-11-18,15799491.142857144,13197703.857142856
2020-11-19,15707235.42857143,13268933.857142856
2020-11-20,15609423.142857144,13303193.857142856
2020-11-21,15524994.42857143,13338308.57142857
2020-11-22,15441528,13366239.42857143
2020-11-23,15400310,13376396.714285715
2020-11-24,15354056.857142856,13345275.857142856
2020-11-25,15312869.285714285,13309431.857142856
2020-11-26,15280667.57142857,13278981.714285715
2020-11-27,15450855.714285715,13434320.142857144
2020-11-28,16007025.42857143,13951289.714285715
2020-11-29,16624480.57142857,14524474.285714285
2020-11-30,17174457,15010286.142857144
2020-12-01,17630933,15400038.714285715
2020-12-02,17999298.14285714,15705898.142857144
2020-12-03,18284234.285714287,15928068.57142857
2020-12-04,18315232,15915146.142857144
2020-12-05,17927568,15507192.285714285
2020-12-06,17472705.42857143,15034315.714285715
2020-12-07,17338696.14285714,14884621.857142856
2020-12-08,17622269.714285713,15154848.142857144
2020-12-09,17882684.14285714,15424445.142857144
2020-12-10,18056046.57142857,15628221.57142857
2020-12-11,18172290.14285714,15786231
2020-12-12,18235078.42857143,15898929.57142857
2020-12-13,18236314.285714287,15959298.42857143
2020-12-14,17898274.42857143,15703574.714285715
2020-12-15,17134663.714285713,15026389.42857143
2020-12-16,16420427,14374869.857142856
2020-12-17,15841423.142857144,13842426.857142856
2020-12-18,15329121.57142857,13363217.714285715
2020-12-19,14892292.142857144,12947852.285714285
2020-12-20,14523444.857142856,12593465.857142856
2020-12-21,14195761.142857144,12277645.42857143
2020-12-22,13963424.142857144,12048892.57142857
2020-12-23,13811706.714285715,11896603
2020-12-24,13695113.57142857,11774850.57142857
2020-12-25,13607643.57142857,11679570.285714285
2020-12-26,13537760.42857143,11605491.57142857
2020-12-27,13492698,11555339.857142856
2020-12-28,13466983.42857143,11525824.285714285
2020-12-29,13466126.42857143,11521312.57142857
2020-12-30,13466225.142857144,11522217.285714285
2020-12-31,13469489.42857143,11527236.857142856
2021-01-01,13477068.714285715,11539055.57142857
2021-01-02,13488718.142857144,11558257.42857143
2021-01-03,13492007.42857143,11567269.42857143
2021-01-04,13500667.142857144,11577684.57142857
2021-01-05,13507142.857142856,11588465
2021-01-06,13494533.57142857,11577621.142857144
2021-01-07,13465196.142857144,11549109.285714285
2021-01-08,13435580.42857143,11519098
2021-01-09,13374186.285714285,11432503
2021-01-10,13284292.285714285,11165459.714285715
2021-01-11,13182392.57142857,11048123.857142856
2021-01-12,13111702.42857143,10966342.285714285
2021-01-13,13063537.285714285,10908116.57142857
2021-01-14,13021524.57142857,10856993.57142857
2021-01-15,12984717.57142857,10811309.57142857
2021-01-16,12994949.714285715,10826022
2021-01-17,13015574,11008248.57142857
2021-01-18,13046569.57142857,11041217.285714285
2021-01-19,13054808.857142856,11049731
2021-01-20,13053097.857142856,11049044.57142857
2021-01-21,13062544.42857143,11058394.714285715
2021-01-22,13073360.285714285,11069786.142857144
2021-01-23,13068319.57142857,11044576
2021-01-24,13072949,10984512.714285715
2021-01-25,13079506.57142857,10910545.57142857
2021-01-26,13082145.285714285,10824496
2021-01-27,13085495.142857144,10731287.714285715
2021-01-28,13082436.142857144,10629662
2021-01-29,13070166.857142856,10520862.42857143
2021-01-30,13055899.714285715,10436276.857142856
2021-01-31,13041897.857142856,10394126.714285715
2021-02-01,13025792.142857144,10362968.57142857
2021-02-02,13007927.57142857,10337038.714285715
2021-02-03,12991503.857142856,10316744.714285715
2021-02-04,12979148.42857143,10300328
2021-02-05,12967327.285714285,10284224.142857144
2021-02-06,12957286.285714285,10271132.57142857
2021-02-07,12944753.285714285,10256363.857142856
2021-02-08,12950758.142857144,10255828.857142856
2021-02-09,12964702.142857144,10258733.857142856
2021-02-10,12975770.142857144,10268715.714285715
2021-02-11,12983313,10277733.142857144
